user_id,category,month,amount
1,Food,2023-01,4855.67
1,Food,2023-02,5071.59
1,Food,2023-03,5528.92
1,Food,2023-04,5842.5
1,Food,2023-05,5342.01
1,Food,2023-06,5092.88
1,Food,2023-07,5178.11
1,Food,2023-08,4641.45
1,Food,2023-09,4099.3
1,Food,2023-10,4254.83
1,Food,2023-11,4122.73
1,Food,2023-12,4393.32
1,Food,2024-01,4927.32
1,Food,2024-02,4783.09
1,Food,2024-03,5098.85
1,Food,2024-04,5480.49
1,Food,2024-05,5289.54
1,Food,2024-06,5354.8
1,Food,2024-07,4720.89
1,Food,2024-08,4257.08
1,Food,2024-09,4689.73
1,Food,2024-10,4204.82
1,Food,2024-11,4380.52
1,Food,2024-12,4298.13
1,Transport,2023-01,603.15
1,Transport,2023-02,668.31
1,Transport,2023-03,661.58
1,Transport,2023-04,719.72
1,Transport,2023-05,675.34
1,Transport,2023-06,649.22
1,Transport,2023-07,591.46
1,Transport,2023-08,619.38
1,Transport,2023-09,525.85
1,Transport,2023-10,479.36
1,Transport,2023-11,548.46
1,Transport,2023-12,517.5
1,Transport,2024-01,606.68
1,Transport,2024-02,584.3
1,Transport,2024-03,636.27
1,Transport,2024-04,694.35
1,Transport,2024-05,697.03
1,Transport,2024-06,643.76
1,Transport,2024-07,586.71
1,Transport,2024-08,532.8
1,Transport,2024-09,460.61
1,Transport,2024-10,470.02
1,Transport,2024-11,488.86
1,Transport,2024-12,568.3
1,Entertainment,2023-01,1578.67
1,Entertainment,2023-02,1548.51
1,Entertainment,2023-03,1812.6
1,Entertainment,2023-04,1805.67
1,Entertainment,2023-05,1768.75
1,Entertainment,2023-06,1800.45
1,Entertainment,2023-07,1733.51
1,Entertainment,2023-08,1626.29
1,Entertainment,2023-09,1420.61
1,Entertainment,2023-10,1447.46
1,Entertainment,2023-11,1545.27
1,Entertainment,2023-12,1697.4
1,Entertainment,2024-01,1717.83
1,Entertainment,2024-02,1873.92
1,Entertainment,2024-03,1904.61
1,Entertainment,2024-04,1945.74
1,Entertainment,2024-05,2087.34
1,Entertainment,2024-06,2061.24
1,Entertainment,2024-07,1850.93
1,Entertainment,2024-08,1834.91
1,Entertainment,2024-09,1716.8
1,Entertainment,2024-10,1624.41
1,Entertainment,2024-11,1750.62
1,Entertainment,2024-12,1944.05
1,Bills,2023-01,3203.14
1,Bills,2023-02,3706.89
1,Bills,2023-03,3218.02
1,Bills,2023-04,3841.0
1,Bills,2023-05,3664.91
1,Bills,2023-06,3433.1
1,Bills,2023-07,3261.43
1,Bills,2023-08,2693.45
1,Bills,2023-09,2807.23
1,Bills,2023-10,2841.59
1,Bills,2023-11,3092.2
1,Bills,2023-12,2954.41
1,Bills,2024-01,3154.82
1,Bills,2024-02,3451.0
1,Bills,2024-03,3860.86
1,Bills,2024-04,3837.53
1,Bills,2024-05,3641.6
1,Bills,2024-06,3639.07
1,Bills,2024-07,3337.93
1,Bills,2024-08,3243.41
1,Bills,2024-09,2805.48
1,Bills,2024-10,2807.37
1,Bills,2024-11,2867.82
1,Bills,2024-12,2878.4
1,Shopping,2023-01,2005.99
1,Shopping,2023-02,2141.97
1,Shopping,2023-03,2216.4
1,Shopping,2023-04,2223.63
1,Shopping,2023-05,2058.39
1,Shopping,2023-06,2039.37
1,Shopping,2023-07,1890.01
1,Shopping,2023-08,1687.52
1,Shopping,2023-09,1633.54
1,Shopping,2023-10,1640.88
1,Shopping,2023-11,1818.28
1,Shopping,2023-12,1748.84
1,Shopping,2024-01,1896.48
1,Shopping,2024-02,2003.12
1,Shopping,2024-03,1920.55
1,Shopping,2024-04,2138.49
1,Shopping,2024-05,2098.53
1,Shopping,2024-06,2218.7
1,Shopping,2024-07,1799.17
1,Shopping,2024-08,1690.92
1,Shopping,2024-09,1540.35
1,Shopping,2024-10,1379.74
1,Shopping,2024-11,1639.12
1,Shopping,2024-12,1700.2
2,Food,2023-01,3394.38
2,Food,2023-02,3391.87
2,Food,2023-03,3978.85
2,Food,2023-04,3616.79
2,Food,2023-05,3906.07
2,Food,2023-06,4018.81
2,Food,2023-07,3284.8
2,Food,2023-08,3139.39
2,Food,2023-09,3099.05
2,Food,2023-10,2965.18
2,Food,2023-11,2890.04
2,Food,2023-12,3363.89
2,Food,2024-01,3454.37
2,Food,2024-02,3980.23
2,Food,2024-03,3962.29
2,Food,2024-04,4461.28
2,Food,2024-05,4044.95
2,Food,2024-06,3971.19
2,Food,2024-07,3941.9
2,Food,2024-08,3393.46
2,Food,2024-09,3482.49
2,Food,2024-10,3623.35
2,Food,2024-11,3243.34
2,Food,2024-12,3745.41
2,Transport,2023-01,426.7
2,Transport,2023-02,467.27
2,Transport,2023-03,445.86
2,Transport,2023-04,450.55
2,Transport,2023-05,478.87
2,Transport,2023-06,448.99
2,Transport,2023-07,414.4
2,Transport,2023-08,382.81
2,Transport,2023-09,336.05
2,Transport,2023-10,344.78
2,Transport,2023-11,352.51
2,Transport,2023-12,352.4
2,Transport,2024-01,436.32
2,Transport,2024-02,436.57
2,Transport,2024-03,422.61
2,Transport,2024-04,467.98
2,Transport,2024-05,423.14
2,Transport,2024-06,435.1
2,Transport,2024-07,409.32
2,Transport,2024-08,334.02
2,Transport,2024-09,346.45
2,Transport,2024-10,324.37
2,Transport,2024-11,339.44
2,Transport,2024-12,383.18
2,Entertainment,2023-01,1387.57
2,Entertainment,2023-02,1470.84
2,Entertainment,2023-03,1552.06
2,Entertainment,2023-04,1599.09
2,Entertainment,2023-05,1636.37
2,Entertainment,2023-06,1602.24
2,Entertainment,2023-07,1505.98
2,Entertainment,2023-08,1452.91
2,Entertainment,2023-09,1332.22
2,Entertainment,2023-10,1418.79
2,Entertainment,2023-11,1339.96
2,Entertainment,2023-12,1640.37
2,Entertainment,2024-01,1612.23
2,Entertainment,2024-02,1627.06
2,Entertainment,2024-03,1702.8
2,Entertainment,2024-04,1853.77
2,Entertainment,2024-05,1789.57
2,Entertainment,2024-06,1791.92
2,Entertainment,2024-07,1683.27
2,Entertainment,2024-08,1553.17
2,Entertainment,2024-09,1435.31
